iter	Logloss
0	0.6750480138
1	0.658161892
2	0.6436381394
3	0.6287633489
4	0.6149796047
5	0.6015234958
6	0.5901526976
7	0.5802361135
8	0.5689357372
9	0.5600471925
10	0.5502178321
11	0.5413968804
12	0.5326322063
13	0.5249451198
14	0.5182963168
15	0.5106713799
16	0.5047013358
17	0.4989070249
18	0.4931440032
19	0.4875979477
20	0.4826261542
21	0.4781544718
22	0.4739676058
23	0.4696462395
24	0.4650536441
25	0.4610017069
26	0.4578351653
27	0.4546368202
28	0.4514170443
29	0.448201726
30	0.4450338985
31	0.4424848235
32	0.4404398457
33	0.4376284139
34	0.4358253908
35	0.4332031507
36	0.430954451
37	0.428984267
38	0.4276460798
39	0.4254302121
40	0.4240590213
41	0.4227951993
42	0.4214193366
43	0.4202741559
44	0.4187022006
45	0.4172717319
46	0.4160632873
47	0.4152093094
48	0.4138684219
49	0.4129818263
50	0.411464434
51	0.4108752133
52	0.4096113484
53	0.4084131905
54	0.4070060816
55	0.4058276401
56	0.4046104517
57	0.403738429
58	0.4026523547
59	0.4018270085
60	0.4008889359
61	0.3999224459
62	0.3993948604
63	0.3984307707
64	0.3975582337
65	0.3971780498
66	0.3963236005
67	0.3954669224
68	0.3945269638
69	0.3941905847
70	0.3932838011
71	0.3925081317
72	0.3921591512
73	0.3918577901
74	0.3914584899
75	0.3905331472
76	0.3901451197
77	0.3892605814
78	0.3886274702
79	0.3881590768
80	0.3875680988
81	0.3869740347
82	0.3862693015
83	0.3857144988
84	0.3856293753
85	0.3854918748
86	0.3851080905
87	0.3849992216
88	0.3844100866
89	0.3839529659
90	0.3836831939
91	0.3831967986
92	0.3829548011
93	0.382619322
94	0.3822811427
95	0.3816569468
96	0.3811603932
97	0.3808204565
98	0.3802229206
99	0.3797854734
