iter	Passed	Remaining
0	1	190
1	3	180
2	5	169
3	6	163
4	8	156
5	10	161
6	11	153
7	12	149
8	14	143
9	15	141
10	16	136
11	18	138
12	20	135
13	21	132
14	22	129
15	24	128
16	25	126
17	27	124
18	28	122
19	30	120
20	31	119
21	33	117
22	34	114
23	35	112
24	36	110
25	37	107
26	39	105
27	40	102
28	41	100
29	42	99
30	43	97
31	44	95
32	46	94
33	47	92
34	48	90
35	50	89
36	51	87
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	58	78
43	60	76
44	61	75
45	62	73
46	63	71
47	64	70
48	65	68
49	66	66
50	68	65
51	69	64
52	70	62
53	72	61
54	73	59
55	74	58
56	76	57
57	77	56
58	78	54
59	79	53
60	81	51
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	89	44
67	90	42
68	91	41
69	93	39
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	112	19
85	113	18
86	115	17
87	117	16
88	119	14
89	120	13
90	121	11
91	122	10
92	126	9
93	127	8
94	131	6
95	132	5
96	133	4
97	135	2
98	136	1
99	137	0
